experience,qualifications,salary_range,work_type,job_title,role,job_description,skills,responsibilities
5 to 15 Years,M.Tech,$60K-$112K,Full-Time,Technical Writer,Instructional Designer,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge,Design and develop instructional materials and e-learning courses. Create interactive and engaging learning experiences. Align instructional content with learning objectives.
4 to 15 Years,BCA,$61K-$122K,Part-Time,Content Writer,Content Strategist,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.",Content strategy Content planning SEO optimization Content marketing Analytics,"Develop content strategies, plan editorial calendars, and ensure content aligns with marketing and branding objectives. Monitor content performance and adjust strategies. Identify content trends and opportunities."
2 to 14 Years,MBA,$65K-$107K,Intern,HR Coordinator,Training Coordinator,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge.",Training program coordination Training material development Learning management systems,"Coordinate employee training programs, track training records, and assist with training logistics. Identify training needs and develop training materials. Facilitate training sessions or workshops."
3 to 9 Years,BCA,$65K-$83K,Temporary,HR Coordinator,Recruitment Coordinator,"Recruitment Coordinators support the hiring process by scheduling interviews, screening candidates, and assisting with onboarding. They ensure a smooth recruitment process and maintain candidate records.",Recruitment process Candidate screening Applicant tracking systems Communication,"Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics."
3 to 13 Years,BCA,$65K-$113K,Part-Time,Business Development Manager,Strategic Partnerships Manager,"A Strategic Partnerships Manager identifies and develops strategic partnerships and alliances that benefit the organization, fostering collaborations and driving mutual success.",Partnership development Negotiation and collaboration Business development,Identify and establish strategic partnerships and alliances. Negotiate partnership agreements and terms. Collaborate with partners to achieve mutual business goals.
0 to 12 Years,B.Com,$63K-$96K,Intern,Java Developer,Java Backend Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.
4 to 8 Years,MBA,$64K-$124K,Part-Time,Sales Manager,Sales Team Leader,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals.",Sales leadership Team management Sales strategy and planning,"Lead and manage a team of sales representatives. Set sales targets and goals. Provide coaching, training, and performance evaluations."
2 to 12 Years,M.Tech,$63K-$130K,Temporary,Speech Therapist,Pediatric Speech Therapist,Pediatric Speech Therapists provide speech therapy to children with speech and language disorders. They assess and treat communication difficulties to improve language skills.,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills,"Assess and treat speech and language disorders in children. Provide therapy for articulation, language development, and communication skills. Collaborate with parents and educators."
2 to 12 Years,M.Com,$55K-$127K,Contract,Data Engineer,Big Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance."
2 to 12 Years,BBA,$63K-$113K,Intern,Database Developer,NoSQL Database Engineer,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Work with NoSQL databases like MongoDB or Cassandra to store and retrieve data efficiently. Design data models for NoSQL databases. Ensure data availability and scalability.
5 to 10 Years,BA,$56K-$129K,Intern,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.
4 to 14 Years,B.Com,$60K-$107K,Intern,Wedding Planner,Wedding Designer,"A Wedding Designer specializes in creating visually appealing wedding designs and décor, transforming wedding venues into beautiful and memorable spaces.",Wedding design concepts Decor selection and arrangement Creative flair,"Focus on the visual and aesthetic aspects of weddings, including decor, floral arrangements, and styling. Create design concepts and layouts. Oversee setup and decoration on the wedding day."
0 to 13 Years,PhD,$60K-$100K,Part-Time,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
2 to 13 Years,BBA,$55K-$88K,Intern,Investment Analyst,Portfolio Manager,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,"Manage investment portfolios, making investment decisions and asset allocation. Conduct research and analysis to identify investment opportunities. Monitor portfolio performance and risk."
0 to 10 Years,BA,$62K-$102K,Contract,Family Nurse Practitioner,Geriatric Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,"Focus on elderly patient care, addressing age-related health concerns. Manage chronic conditions and medication regimens. Collaborate with healthcare teams in nursing homes or geriatric clinics."
2 to 10 Years,M.Tech,$58K-$125K,Temporary,Front-End Engineer,JavaScript Developer,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting","Develop interactive web applications using JavaScript frameworks and libraries, such as React or Angular. Debug and resolve frontend issues. Ensure cross-browser compatibility."
4 to 12 Years,BCA,$55K-$111K,Contract,Customer Success Manager,Account Manager,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.",Account management Customer relationship management Sales and negotiation Business development Client needs analysis,"Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention."
0 to 12 Years,BCA,$59K-$113K,Intern,Procurement Coordinator,Purchasing Coordinator,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.",Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations,"Coordinate purchasing activities, including vendor sourcing and negotiation. Create purchase orders and track deliveries. Ensure cost-effective procurement."
5 to 10 Years,BBA,$57K-$104K,Full-Time,Urban Planner,Transportation Planner,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.",Transportation planning Traffic engineering GIS proficiency Public transportation Project management,Specialize in transportation infrastructure and traffic management. Design efficient transportation networks. Address traffic congestion and improve public transit systems.
0 to 9 Years,BBA,$57K-$122K,Temporary,Speech Therapist,Adult Speech Therapist,Adult Speech Therapists work with adults to address speech and language disorders. They provide therapy and support to improve communication and enhance quality of life.,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills,"Focus on speech and language therapy for adults with communication challenges. Address speech disorders, aphasia, and swallowing difficulties. Customize therapy plans for individual needs."
4 to 11 Years,M.Tech,$56K-$128K,Contract,HR Coordinator,Benefits Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.",Employee benefits administration Benefits compliance HRIS Benefits communication,"Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits."
3 to 15 Years,M.Com,$62K-$98K,Contract,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
4 to 14 Years,B.Tech,$56K-$92K,Full-Time,Financial Analyst,Investment Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
0 to 10 Years,MBA,$56K-$126K,Intern,Email Marketing Specialist,Email Campaign Manager,"Plan, execute, and analyze email marketing campaigns to engage subscribers, increase conversions, and build brand awareness.","Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail","Plan and execute email marketing campaigns, including segmenting lists and scheduling sends. Create compelling email content and visuals. Analyze email performance and optimize campaigns."
2 to 10 Years,M.Tech,$61K-$116K,Contract,Environmental Engineer,Sustainability Specialist,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals.
1 to 15 Years,M.Com,$60K-$98K,Part-Time,Back-End Developer,Server Developer,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality.","Server-side programming languages (e.g., Java, Python) Database management API development",Develop and maintain server-side logic and databases for web applications. Optimize server performance and scalability. Collaborate with front-end developers to integrate user interfaces.
3 to 8 Years,MCA,$58K-$129K,Full-Time,Network Administrator,Systems Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge","Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users."
3 to 12 Years,BBA,$60K-$108K,Part-Time,Structural Engineer,Design Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Design structural systems and components for buildings and infrastructure projects. Perform structural analysis and calculations. Create detailed design plans and specifications.
2 to 10 Years,M.Com,$63K-$106K,Temporary,Market Research Analyst,Market Research Coordinator,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts.",Market research coordination Survey design and administration Data analysis,"Coordinate research projects, including participant recruitment and data collection. Collaborate with research teams and ensure project timelines are met. Maintain research databases and records."
0 to 14 Years,BBA,$55K-$95K,Contract,Customer Service Representative,Call Center Agent,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone.",Customer service Call center operations Problem-solving skills,Handle incoming phone calls and provide information or assistance. Follow call scripts and procedures. Document and report call details.
5 to 15 Years,BA,$56K-$87K,Temporary,Customer Support Specialist,Customer Success Manager,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.",Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
2 to 8 Years,M.Com,$61K-$107K,Full-Time,Landscape Architect,Environmental Designer,"Design outdoor spaces, parks, and landscapes with an emphasis on environmental sustainability.",Environmental design principles Sustainability concepts CAD and design software,"Focus on environmentally sustainable landscape design. Design landscapes to conserve resources, reduce pollution, and support biodiversity. Select native plants and sustainable materials."
1 to 8 Years,B.Com,$63K-$127K,Temporary,Business Analyst,IT Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions."
4 to 8 Years,B.Tech,$56K-$126K,Contract,Social Media Manager,Social Media Analyst,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes.
2 to 10 Years,PhD,$65K-$89K,Contract,Family Lawyer,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.",Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation,"Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules."
5 to 8 Years,PhD,$58K-$128K,Intern,Data Analyst,Data Scientist,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing.
4 to 8 Years,BA,$62K-$123K,Temporary,Registered Nurse,Clinical Nurse Specialist,"A Clinical Nurse Specialist is an advanced practice nurse who specializes in specific patient populations or clinical areas, providing expert care and contributing to improved patient outcomes.","Clinical nursing specialization (e.g., critical care, oncology) Advanced nursing skills Patient education","Specialize in a specific area of patient care, such as pediatrics or oncology. Provide expert clinical guidance and education to healthcare staff. Contribute to evidence-based practice and quality improvement."
0 to 15 Years,BA,$60K-$114K,Intern,Chemical Analyst,Quality Control Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,Ensure the quality and consistency of chemical products and processes through testing and inspection. Identify non-conformities and deviations. Maintain quality control documentation.
5 to 10 Years,BBA,$65K-$98K,Temporary,Electrical Engineer,Power Systems Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,"Design and analyze electrical power systems, including transmission and distribution networks. Perform load flow analysis and ensure grid reliability. Implement energy efficiency solutions."
0 to 13 Years,BCA,$63K-$85K,Full-Time,Network Technician,Network Security Specialist,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",Network security Cybersecurity Intrusion detection Security analysis Firewall management,"Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements."
2 to 12 Years,MBA,$59K-$109K,Part-Time,Interior Designer,Commercial Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,"Design and optimize interior spaces for commercial and public use, such as offices, restaurants, and retail stores. Collaborate with architects and contractors. Ensure compliance with building codes and regulations."
3 to 11 Years,BA,$56K-$106K,Temporary,Substance Abuse Counselor,Addiction Counselor,"An Addiction Counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.",Addiction counseling techniques Substance abuse treatment Counseling ethics,Provide counseling and support to individuals struggling with substance abuse issues. Conduct assessments and develop treatment plans. Facilitate group therapy sessions.
2 to 10 Years,MCA,$59K-$120K,Intern,Software Architect,Cloud Architect,"A Cloud Architect designs and manages cloud-based solutions, optimizing scalability, security, and performance while aligning them with the companys technology strategy.","Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)","Design and implement cloud-based solutions, optimizing for performance and cost-efficiency. Develop cloud migration strategies. Architect and manage cloud infrastructure."
1 to 10 Years,BBA,$60K-$82K,Full-Time,Business Analyst,Data Business Analyst,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)","Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts."
1 to 8 Years,B.Com,$60K-$125K,Contract,Nurse Manager,Nursing Director,"Nursing Directors oversee nursing departments in healthcare facilities. They manage nursing staff, develop policies and procedures, and ensure the delivery of high-quality patient care while adhering to regulatory standards.",Nursing management Patient care coordination Staff supervision Compliance with healthcare regulations Quality improvement Leadership skills,Oversee nursing staff and operations in healthcare settings. Develop nursing policies and procedures. Ensure compliance with healthcare regulations.
1 to 15 Years,BA,$65K-$107K,Full-Time,Veterinarian,Small Animal Veterinarian,"A Small Animal Veterinarian provides medical care to small pets, such as dogs and cats. They diagnose illnesses, perform surgeries, and advise pet owners on healthcare practices.",Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail,"Diagnose and treat illnesses and injuries in domestic pets, such as dogs and cats. Perform surgeries, vaccinations, and routine check-ups. Provide pet owners with medical advice and care plans."
4 to 8 Years,B.Com,$62K-$126K,Contract,Process Engineer,Chemical Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.",Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills,"Specialize in chemical processes, including design and optimization. Monitor chemical reactions and processes. Ensure compliance with environmental regulations."
2 to 10 Years,PhD,$62K-$117K,Temporary,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail","Conduct market research to gather data on consumer behavior, market trends, and competitive analysis. Analyze research findings and generate actionable insights. Prepare research reports and presentations."
1 to 10 Years,MCA,$57K-$98K,Contract,IT Manager,Infrastructure Manager,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management","Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades."
3 to 12 Years,BA,$56K-$117K,Full-Time,Quality Assurance Analyst,QA Tester,"QA Testers assess software and applications for defects and quality issues. They conduct testing procedures, report bugs, and work with development teams to ensure the delivery of high-quality software products.","Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing","Develop and execute test plans and test cases to identify software defects and issues. Document and report bugs, errors, and anomalies. Collaborate with development teams to resolve issues."
5 to 8 Years,MCA,$61K-$108K,Intern,Project Manager,IT Project Manager,"IT Project Managers plan, execute, and oversee IT projects. They define project scope, allocate resources, manage budgets, and ensure projects are delivered on time and within scope. They also communicate project status and risks to stakeholders.",Project management Team leadership Risk management Budgeting Communication skills,"Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks."
1 to 10 Years,PhD,$65K-$101K,Part-Time,Account Manager,Client Relationship Manager,"Build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
3 to 14 Years,B.Com,$63K-$120K,Temporary,Web Developer,Backend Web Developer,"Backend Web Developers build and maintain the server-side logic and infrastructure required for web applications. They work on data storage, APIs, and server communication to support the functionality of web applications.","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",Develop server-side logic and databases to support web applications. Optimize application performance and security. Implement RESTful APIs for data retrieval and manipulation.
1 to 9 Years,MBA,$55K-$100K,Part-Time,Pharmaceutical Sales Representative,Medical Sales Specialist,"Medical Sales Specialists focus on selling medical devices, pharmaceuticals, or healthcare products to healthcare professionals and institutions.",Medical product knowledge Understanding of healthcare regulations Relationship building with healthcare professionals Sales forecasting and planning Medical sales techniques,Focus on medical equipment or devices sales to healthcare facilities and providers. Conduct product demonstrations and training. Understand and comply with industry regulations.
2 to 11 Years,M.Tech,$56K-$93K,Full-Time,Office Manager,Office Coordinator,"Office Coordinators provide administrative support within an office. They assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations.",Office administration Calendar management Reception duties Communication skills Record keeping Office supplies management,Coordinate office activities and workflow. Assist with document management and filing. Manage office supplies and vendor relationships.
1 to 13 Years,M.Tech,$61K-$112K,Part-Time,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
1 to 10 Years,MBA,$61K-$109K,Temporary,Architect,Project Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.",Architectural project management Construction documents Building systems Design coordination Client communication,"Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets."
0 to 8 Years,BCA,$59K-$99K,Part-Time,Software Tester,Performance Tester,A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification",Evaluate software performance and scalability through load and stress testing. Identify performance bottlenecks and optimize system performance. Generate performance reports and recommendations.
2 to 13 Years,PhD,$57K-$122K,Temporary,Pharmaceutical Sales Representative,Territory Sales Manager,"Territory Sales Managers oversee a specific sales territory, managing sales teams, setting goals, and developing strategies to meet sales objectives.",Sales leadership Territory management Team management Sales data analysis Strategic planning and execution,"Manage a sales territory, including developing sales strategies and targets. Lead a sales team and provide coaching and support. Monitor sales performance and track progress toward goals."
0 to 8 Years,BCA,$59K-$105K,Part-Time,IT Support Specialist,Help Desk Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,"Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Document and track support requests and resolutions. Provide training and guidance to end-users."
4 to 10 Years,B.Tech,$60K-$109K,Contract,Teacher,Special Education Teacher,"A Special Education Teacher works with students who have disabilities, tailoring instruction to meet their unique needs and ensuring they have access to a quality education.",Special education strategies Individualized education plans (IEPs) Behavior management techniques Collaboration with support staff Special education laws and regulations knowledge,"Provide tailored instruction and support to students with special needs. Develop and implement Individualized Education Plans (IEPs). Collaborate with parents, therapists, and support staff."
3 to 10 Years,PhD,$62K-$100K,Part-Time,Quality Assurance Analyst,Test Automation Engineer,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management","Design, develop, and maintain automated test scripts and frameworks. Conduct regression testing and performance testing. Implement continuous integration and automated testing processes."
2 to 11 Years,MCA,$57K-$93K,Part-Time,Physician Assistant,Surgical Physician Assistant,"Assist surgeons in the operating room, perform pre- and post-operative care, and collaborate on surgical procedures.",Surgical procedures and techniques Operating room protocols Anesthesia management,"Assist surgeons in the operating room, including pre-operative and post-operative care. Suture wounds and provide surgical support. Collaborate with surgical teams on patient care."
3 to 15 Years,MBA,$64K-$115K,Intern,Data Entry Clerk,Administrative Assistant,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,"Provide administrative support, such as managing documents and organizing files. Assist with office tasks and coordinate schedules. Handle phone calls and correspondence."
1 to 13 Years,MCA,$56K-$89K,Part-Time,Data Analyst,Data Quality Analyst,"Data Quality Analysts ensure the accuracy, completeness, and consistency of data within an organization. They develop and implement data quality standards, perform data validation, and identify and resolve data quality issues to maintain data integrity.","Data quality assessment and improvement Data profiling and validation Knowledge of data quality tools (e.g., Informatica, Talend) Data governance principles SQL for data analysis Attention to detail and data accuracy",Ensure data accuracy and quality by identifying and addressing data issues and anomalies. Establish data quality standards and processes. Collaborate with data stewards to improve data quality.
5 to 12 Years,BCA,$55K-$84K,Full-Time,Accountant,Tax Accountant,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.",Tax preparation Tax planning Tax regulations Accounting Tax software proficiency,"Prepare and file tax returns, provide tax planning advice, and address tax-related issues. Stay up-to-date on tax laws and regulations. Assist clients with tax compliance and planning."
1 to 12 Years,MBA,$61K-$115K,Full-Time,Veterinarian,Equine Veterinarian,"An Equine Veterinarian specializes in the health and well-being of horses. They diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses.",Equine veterinary medicine Horse anatomy and physiology Lameness evaluation Equine surgery Dentistry for horses Emergency equine care Equine reproductive health Compassion and empathy Client communication Problem-solving Attention to detail,"Specialize in the care and treatment of horses and other equine species. Perform health assessments, dental care, and surgical procedures for horses. Advise horse owners on nutrition and wellness."
5 to 12 Years,PhD,$62K-$111K,Full-Time,Investment Banker,Investment Portfolio Manager,"An Investment Portfolio Manager manages investment portfolios, making investment decisions, monitoring performance, and optimizing asset allocation for clients or the organization.",Investment analysis Portfolio management Risk assessment,Manage investment portfolios on behalf of clients or organizations. Monitor portfolio performance and adjust investment strategies. Provide regular reports and updates to clients.
3 to 13 Years,BBA,$64K-$95K,Contract,Marketing Director,Brand Director,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",Brand strategy Brand development Creative direction Brand management Market research,"Manage and strengthen brand identity, ensuring consistent messaging and visual identity. Develop brand campaigns and positioning. Monitor brand performance and reputation."
2 to 11 Years,MBA,$65K-$101K,Full-Time,Operations Manager,Operations Director,"Operations Directors oversee the daily operations of an organization. They develop and implement operational strategies, manage teams, and work to optimize processes to achieve business goals and efficiency.",Operations management Strategic planning and execution Budgeting and financial analysis Leadership and team management Process improvement and optimization,Oversee and manage daily operations to ensure efficiency and productivity. Develop and implement operational strategies and goals. Lead and mentor a team of operations staff.
5 to 12 Years,M.Com,$55K-$119K,Full-Time,Sales Manager,Key Account Manager,"Manage key client accounts, build strong relationships, and drive revenue growth.",Key account management Relationship building Sales negotiation,Build and maintain relationships with key clients. Develop account strategies and negotiate contracts. Ensure client satisfaction and retention.
