experience,qualifications,salary_range,work_type,job_title,role,job_description,skills,responsibilities
4 to 15 Years,BCA,$61K-$122K,Part-Time,Content Writer,Content Strategist,"Content Strategists develop and execute content strategies that align with business objectives. They plan content creation, distribution, and promotion to engage audiences and drive brand growth.",Content strategy Content planning SEO optimization Content marketing Analytics,"Develop content strategies, plan editorial calendars, and ensure content aligns with marketing and branding objectives. Monitor content performance and adjust strategies. Identify content trends and opportunities."
2 to 14 Years,MBA,$65K-$107K,Intern,HR Coordinator,Training Coordinator,"Training Coordinators design and implement employee training programs. They assess training needs, develop training materials, and facilitate training sessions to enhance employees skills and knowledge.",Training program coordination Training material development Learning management systems,"Coordinate employee training programs, track training records, and assist with training logistics. Identify training needs and develop training materials. Facilitate training sessions or workshops."
3 to 13 Years,BCA,$65K-$113K,Part-Time,Business Development Manager,Strategic Partnerships Manager,"A Strategic Partnerships Manager identifies and develops strategic partnerships and alliances that benefit the organization, fostering collaborations and driving mutual success.",Partnership development Negotiation and collaboration Business development,Identify and establish strategic partnerships and alliances. Negotiate partnership agreements and terms. Collaborate with partners to achieve mutual business goals.
0 to 12 Years,B.Com,$63K-$96K,Intern,Java Developer,Java Backend Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Develop server-side applications and APIs using Java and related technologies. Optimize application performance and scalability. Implement security measures and authentication systems.
5 to 10 Years,BA,$56K-$129K,Intern,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.
0 to 13 Years,PhD,$60K-$100K,Part-Time,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
0 to 10 Years,BA,$62K-$102K,Contract,Family Nurse Practitioner,Geriatric Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,"Focus on elderly patient care, addressing age-related health concerns. Manage chronic conditions and medication regimens. Collaborate with healthcare teams in nursing homes or geriatric clinics."
2 to 10 Years,M.Tech,$58K-$125K,Temporary,Front-End Engineer,JavaScript Developer,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting","Develop interactive web applications using JavaScript frameworks and libraries, such as React or Angular. Debug and resolve frontend issues. Ensure cross-browser compatibility."
4 to 12 Years,BCA,$55K-$111K,Contract,Customer Success Manager,Account Manager,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.",Account management Customer relationship management Sales and negotiation Business development Client needs analysis,"Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention."
0 to 12 Years,BCA,$59K-$113K,Intern,Procurement Coordinator,Purchasing Coordinator,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.",Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations,"Coordinate purchasing activities, including vendor sourcing and negotiation. Create purchase orders and track deliveries. Ensure cost-effective procurement."
5 to 10 Years,BBA,$57K-$104K,Full-Time,Urban Planner,Transportation Planner,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.",Transportation planning Traffic engineering GIS proficiency Public transportation Project management,Specialize in transportation infrastructure and traffic management. Design efficient transportation networks. Address traffic congestion and improve public transit systems.
3 to 15 Years,M.Com,$62K-$98K,Contract,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
4 to 14 Years,B.Tech,$56K-$92K,Full-Time,Financial Analyst,Investment Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
2 to 10 Years,M.Tech,$61K-$116K,Contract,Environmental Engineer,Sustainability Specialist,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals.
1 to 15 Years,M.Com,$60K-$98K,Part-Time,Back-End Developer,Server Developer,"A Server Developer specializes in developing and maintaining server-side applications and systems, ensuring efficient data processing and server functionality.","Server-side programming languages (e.g., Java, Python) Database management API development",Develop and maintain server-side logic and databases for web applications. Optimize server performance and scalability. Collaborate with front-end developers to integrate user interfaces.
3 to 12 Years,BBA,$60K-$108K,Part-Time,Structural Engineer,Design Engineer,"A Design Engineer creates and develops product designs and specifications, using engineering principles and design software to bring innovative products to market.",Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Design structural systems and components for buildings and infrastructure projects. Perform structural analysis and calculations. Create detailed design plans and specifications.
2 to 10 Years,M.Com,$63K-$106K,Temporary,Market Research Analyst,Market Research Coordinator,"A Market Research Coordinator supports market research initiatives by organizing and managing research projects, data collection, and analysis efforts.",Market research coordination Survey design and administration Data analysis,"Coordinate research projects, including participant recruitment and data collection. Collaborate with research teams and ensure project timelines are met. Maintain research databases and records."
0 to 14 Years,BBA,$55K-$95K,Contract,Customer Service Representative,Call Center Agent,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone.",Customer service Call center operations Problem-solving skills,Handle incoming phone calls and provide information or assistance. Follow call scripts and procedures. Document and report call details.
5 to 15 Years,BA,$56K-$87K,Temporary,Customer Support Specialist,Customer Success Manager,"Customer Success Managers focus on ensuring customer satisfaction and retention. They build relationships with clients, understand their needs, and work to maximize the value customers receive from products or services, ultimately driving customer success and loyalty.",Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
1 to 8 Years,B.Com,$63K-$127K,Temporary,Business Analyst,IT Business Analyst,"IT Business Analysts bridge the gap between business needs and technology solutions. They analyze business processes, gather requirements, and create solutions that align with organizational goals.",Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions."
4 to 8 Years,B.Tech,$56K-$126K,Contract,Social Media Manager,Social Media Analyst,"Social Media Analysts analyze social media data and metrics to provide insights and recommendations for improving social media strategies. They track performance, identify trends, and support data-driven decision-making.","Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification",Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes.
2 to 10 Years,PhD,$65K-$89K,Contract,Family Lawyer,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.",Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation,"Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules."
0 to 15 Years,BA,$60K-$114K,Intern,Chemical Analyst,Quality Control Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,Ensure the quality and consistency of chemical products and processes through testing and inspection. Identify non-conformities and deviations. Maintain quality control documentation.
0 to 13 Years,BCA,$63K-$85K,Full-Time,Network Technician,Network Security Specialist,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",Network security Cybersecurity Intrusion detection Security analysis Firewall management,"Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements."
2 to 12 Years,MBA,$59K-$109K,Part-Time,Interior Designer,Commercial Interior Designer,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency,"Design and optimize interior spaces for commercial and public use, such as offices, restaurants, and retail stores. Collaborate with architects and contractors. Ensure compliance with building codes and regulations."
2 to 10 Years,MCA,$59K-$120K,Intern,Software Architect,Cloud Architect,"A Cloud Architect designs and manages cloud-based solutions, optimizing scalability, security, and performance while aligning them with the companys technology strategy.","Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)","Design and implement cloud-based solutions, optimizing for performance and cost-efficiency. Develop cloud migration strategies. Architect and manage cloud infrastructure."
1 to 8 Years,B.Com,$60K-$125K,Contract,Nurse Manager,Nursing Director,"Nursing Directors oversee nursing departments in healthcare facilities. They manage nursing staff, develop policies and procedures, and ensure the delivery of high-quality patient care while adhering to regulatory standards.",Nursing management Patient care coordination Staff supervision Compliance with healthcare regulations Quality improvement Leadership skills,Oversee nursing staff and operations in healthcare settings. Develop nursing policies and procedures. Ensure compliance with healthcare regulations.
1 to 15 Years,BA,$65K-$107K,Full-Time,Veterinarian,Small Animal Veterinarian,"A Small Animal Veterinarian provides medical care to small pets, such as dogs and cats. They diagnose illnesses, perform surgeries, and advise pet owners on healthcare practices.",Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail,"Diagnose and treat illnesses and injuries in domestic pets, such as dogs and cats. Perform surgeries, vaccinations, and routine check-ups. Provide pet owners with medical advice and care plans."
4 to 8 Years,B.Com,$62K-$126K,Contract,Process Engineer,Chemical Engineer,"Chemical Engineers design and oversee processes for the production of chemicals and related products. They conduct experiments, analyze data, and develop processes to optimize production, ensure safety, and minimize environmental impact.",Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills,"Specialize in chemical processes, including design and optimization. Monitor chemical reactions and processes. Ensure compliance with environmental regulations."
1 to 10 Years,MCA,$57K-$98K,Contract,IT Manager,Infrastructure Manager,"An Infrastructure Manager is responsible for the operation and maintenance of an organizations IT infrastructure, including servers, networks, and data centers.","Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management","Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades."
3 to 12 Years,BA,$56K-$117K,Full-Time,Quality Assurance Analyst,QA Tester,"QA Testers assess software and applications for defects and quality issues. They conduct testing procedures, report bugs, and work with development teams to ensure the delivery of high-quality software products.","Test planning and strategy Test case design and execution Defect reporting and tracking Test automation tools (e.g., Selenium, Appium) Regression testing","Develop and execute test plans and test cases to identify software defects and issues. Document and report bugs, errors, and anomalies. Collaborate with development teams to resolve issues."
1 to 9 Years,MBA,$55K-$100K,Part-Time,Pharmaceutical Sales Representative,Medical Sales Specialist,"Medical Sales Specialists focus on selling medical devices, pharmaceuticals, or healthcare products to healthcare professionals and institutions.",Medical product knowledge Understanding of healthcare regulations Relationship building with healthcare professionals Sales forecasting and planning Medical sales techniques,Focus on medical equipment or devices sales to healthcare facilities and providers. Conduct product demonstrations and training. Understand and comply with industry regulations.
2 to 11 Years,M.Tech,$56K-$93K,Full-Time,Office Manager,Office Coordinator,"Office Coordinators provide administrative support within an office. They assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations.",Office administration Calendar management Reception duties Communication skills Record keeping Office supplies management,Coordinate office activities and workflow. Assist with document management and filing. Manage office supplies and vendor relationships.
1 to 10 Years,MBA,$61K-$109K,Temporary,Architect,Project Architect,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.",Architectural project management Construction documents Building systems Design coordination Client communication,"Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets."
2 to 11 Years,MCA,$57K-$93K,Part-Time,Physician Assistant,Surgical Physician Assistant,"Assist surgeons in the operating room, perform pre- and post-operative care, and collaborate on surgical procedures.",Surgical procedures and techniques Operating room protocols Anesthesia management,"Assist surgeons in the operating room, including pre-operative and post-operative care. Suture wounds and provide surgical support. Collaborate with surgical teams on patient care."
3 to 13 Years,BBA,$64K-$95K,Contract,Marketing Director,Brand Director,"Brand Directors oversee brand management and strategy. They ensure brand consistency, guide marketing initiatives, and work to enhance brand perception and recognition.",Brand strategy Brand development Creative direction Brand management Market research,"Manage and strengthen brand identity, ensuring consistent messaging and visual identity. Develop brand campaigns and positioning. Monitor brand performance and reputation."
4 to 13 Years,MBA,$59K-$115K,Temporary,Front-End Developer,Accessibility Developer,"An Accessibility Developer focuses on making digital products and websites accessible to individuals with disabilities, ensuring compliance with accessibility standards.","Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail","Ensure web accessibility for all users, including those with disabilities. Implement WCAG guidelines and accessibility features. Conduct accessibility testing and remediation."
5 to 14 Years,BA,$59K-$87K,Full-Time,Research Scientist,Senior Researcher,"Senior Researchers lead research initiatives within organizations. They design research projects, collect and analyze data, and provide insights to inform strategic decision-making and innovation efforts.","Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills","Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals."
5 to 14 Years,M.Tech,$56K-$110K,Temporary,Executive Assistant,Office Manager,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics."
1 to 11 Years,MBA,$59K-$125K,Intern,HR Manager,Human Resources Director,"A Human Resources Director leads HR functions, including talent acquisition, employee development, and HR strategy, to promote a positive work environment and support organizational goals.",Strategic HR planning Employee relations Talent management HR policy development Leadership skills,"Oversee all HR functions, including recruitment, benefits administration, employee relations, and policy development. Align HR strategies with business goals. Provide leadership to the HR team."
3 to 15 Years,M.Com,$56K-$127K,Temporary,Marketing Manager,Brand Manager,"Brand Managers are responsible for maintaining and enhancing a brands image and reputation. They develop brand strategies, oversee branding campaigns, and ensure brand consistency in all marketing and communication efforts.",Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills,"Manage the overall brand identity, create marketing campaigns, and ensure brand consistency across all materials and touchpoints. Monitor brand performance and reputation. Collaborate with creative teams on branding materials."
3 to 14 Years,BCA,$55K-$119K,Temporary,Public Relations Specialist,Brand PR Specialist,"Brand PR Specialists focus on promoting and maintaining a positive brand image through media relations, events, and communication efforts.",Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance.
4 to 11 Years,BBA,$55K-$98K,Temporary,Financial Controller,Finance Manager,"Finance Managers oversee an organizations financial operations, including budgeting, financial reporting, and investment management. They analyze financial data, make strategic financial decisions, and ensure compliance with financial regulations.","Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning","Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff."
0 to 11 Years,B.Tech,$63K-$111K,Full-Time,Investment Advisor,Wealth Advisor,"Wealth Advisors provide financial advice to clients. They assess financial goals, create investment strategies, and offer guidance on wealth management and financial planning.",Financial planning Investment knowledge Relationship management Communication skills Analytical skills,Provide financial advice and investment strategies to clients. Assess clients financial goals and risk tolerance. Create personalized investment portfolios.
2 to 14 Years,MBA,$61K-$94K,Intern,Aerospace Engineer,Systems Engineer,Systems Engineers design and manage complex systems and infrastructure. They integrate various components and technologies to ensure optimal system performance and reliability.,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.
5 to 13 Years,B.Com,$55K-$111K,Contract,Marketing Analyst,Data Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.
5 to 8 Years,M.Tech,$55K-$115K,Part-Time,Paralegal,Real Estate Paralegal,"Assist in real estate transactions, including title searches, closings, and contract preparation.",Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills,"Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions."
5 to 14 Years,M.Com,$55K-$121K,Intern,Landscape Designer,Commercial Landscape Architect,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,"Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors."
2 to 9 Years,M.Tech,$59K-$89K,Part-Time,Web Designer,Frontend Web Designer,"Frontend Web Designers create the visual elements and user interfaces of websites. They use HTML, CSS, and JavaScript to design responsive, user-friendly web pages, ensuring a seamless and visually appealing online experience.",Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,"Create visually appealing and responsive web designs using HTML, CSS, and JavaScript. Ensure cross-browser compatibility. Optimize web performance and page load times."
0 to 13 Years,M.Com,$64K-$120K,Temporary,Occupational Therapist,Pediatric Occupational Therapist,A Pediatric Occupational Therapist helps children with developmental or physical challenges improve their motor and life skills through therapy interventions.,Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge,Provide occupational therapy services to children with developmental or sensory challenges. Develop individualized therapy plans. Collaborate with parents and caregivers.
2 to 15 Years,PhD,$55K-$107K,Temporary,Legal Advisor,In-House Counsel,"In the role of In-House Counsel, you will provide legal support to the organization across various areas, including contracts, employment law, and regulatory compliance. You will draft legal documents, handle litigation matters, and advise on legal risks affecting day-to-day operations. Your role is crucial in ensuring the company operates within the bounds of the law.",In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling,"Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns."
5 to 14 Years,PhD,$55K-$98K,Contract,Marketing Coordinator,Marketing Specialist,"Marketing Specialists develop and implement marketing campaigns, analyze market trends, and promote products or services to target audiences.",Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency,Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics.
5 to 8 Years,BA,$59K-$100K,Part-Time,Dental Hygienist,Dental Hygiene Educator,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs.
2 to 8 Years,B.Com,$64K-$84K,Part-Time,SEM Specialist,SEM Analyst,"SEM Analysts analyze search engine marketing (SEM) campaigns. They monitor performance, optimize keyword strategies, and provide insights to improve the effectiveness of SEM efforts.",Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management,Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices.
4 to 15 Years,PhD,$57K-$126K,Full-Time,SEO Specialist,Technical SEO Specialist,"Technical SEO Specialists optimize website infrastructure, addressing issues like site speed, mobile-friendliness, and structured data to enhance search engine visibility.",Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization,"Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy."
4 to 9 Years,MBA,$57K-$102K,Temporary,Pediatrician,Pediatric Surgeon,"Pediatric Surgeons specialize in performing surgical procedures on children, including infants and adolescents. They diagnose surgical conditions, perform surgeries, and collaborate with other healthcare professionals to ensure the best outcomes.",Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia,"Perform surgical procedures on pediatric patients, including congenital abnormalities and injuries. Coordinate pre-operative and post-operative care. Ensure the well-being and recovery of young patients."
5 to 12 Years,M.Com,$61K-$90K,Temporary,QA Engineer,QA Manager,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.",Quality assurance Process improvement Team leadership Problem-solving Quality control,"Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts."
4 to 9 Years,BA,$55K-$111K,Temporary,Data Scientist,Machine Learning Engineer,"Machine Learning Engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation,Develop machine learning models and algorithms for data analysis and prediction. Preprocess and clean data for model training. Evaluate model performance and fine-tune parameters.
4 to 11 Years,M.Com,$57K-$110K,Contract,Financial Advisor,Wealth Management Advisor,Wealth Management Advisors provide comprehensive financial planning and investment management services to high-net-worth individuals and families.,Wealth management strategies Asset allocation Estate planning Tax management Client relationship management,"Manage high-net-worth clients financial portfolios and assets. Offer comprehensive wealth management services, including estate planning and asset allocation. Provide personalized financial guidance."
4 to 10 Years,MBA,$63K-$109K,Full-Time,Personal Assistant,Personal Secretary,"Personal Secretaries provide administrative support to individuals or executives. They manage schedules, handle correspondence, and assist with various tasks to ensure efficiency.",Administrative support Calendar management Communication skills Time management Organizational skills Confidentiality,"Act as a personal secretary, managing personal appointments and tasks. Handle correspondence and communication on behalf of the employer. Organize personal schedules and commitments."
5 to 15 Years,MBA,$60K-$125K,Part-Time,SEO Analyst,Technical SEO Analyst,"As a Technical SEO Analyst, your role is to analyze website performance and identify opportunities for optimization. You will work on improving site speed, mobile-friendliness, and other technical aspects to enhance search engine rankings. You will also perform keyword research, conduct competitive analysis, and provide recommendations to improve website SEO.","Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization","Focus on technical aspects of SEO, including website structure, page speed, and mobile optimization. Conduct technical SEO audits and provide recommendations for website improvements. Collaborate with web developers on technical SEO implementations."
1 to 12 Years,B.Tech,$56K-$118K,Contract,Network Analyst,Network Performance Analyst,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.","Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols","Analyze network performance data, identify bottlenecks and latency issues, and optimize network performance. Collaborate with network engineers to implement improvements."
2 to 15 Years,M.Tech,$56K-$118K,Contract,Mechanical Designer,CAD Technician,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise.
5 to 9 Years,MCA,$64K-$114K,Part-Time,Marketing Specialist,Marketing Analytics Specialist,"Marketing Analytics Specialists analyze marketing data to derive insights and inform marketing strategies. They use tools like Google Analytics and data analysis software to track campaign performance, customer behavior, and market trends.",Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools,Analyze marketing data and generate insights to drive decision-making. Use tools like Google Analytics and marketing automation platforms. Report on key performance metrics and ROI.
0 to 11 Years,BA,$61K-$117K,Intern,Graphic Designer,Print Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge","Design printed materials such as brochures, posters, and packaging. Choose appropriate printing methods and materials. Collaborate with print vendors and ensure quality output."
4 to 12 Years,BA,$55K-$105K,Part-Time,Finance Manager,Accounting Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",Accounting principles Financial reporting Team management Budgeting Financial analysis,"Manage accounting functions, including financial reporting and compliance. Ensure accurate and timely financial statements. Oversee audits and tax filings."
0 to 10 Years,M.Com,$63K-$99K,Intern,Physical Therapist,Pediatric Physical Therapist,"Specialize in providing physical therapy to children, addressing developmental and mobility issues.",Pediatric rehabilitation Developmental assessments Child psychology knowledge,Work with children with developmental or physical disabilities. Provide therapy to improve mobility and motor skills. Collaborate with parents and caregivers.
0 to 14 Years,BBA,$64K-$113K,Temporary,Product Designer,Industrial Designer,"An Industrial Designer creates and improves product designs, focusing on aesthetics, functionality, and user experience to produce innovative and marketable products.",Industrial design principles CAD and 3D modeling Prototyping and testing,"Focus on the physical design and aesthetics of products. Develop product concepts, sketches, and 3D models. Collaborate with engineers for product feasibility."
4 to 9 Years,M.Tech,$65K-$86K,Part-Time,Administrative Assistant,Executive Assistant,"Support high-level executives by managing schedules, coordinating meetings, and handling various administrative tasks.","Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
4 to 10 Years,BA,$62K-$101K,Full-Time,Brand Ambassador,Social Media Influencer,Social Media Influencers use their online presence to promote brands or products. They create engaging content and collaborate with companies to reach a wider audience.,Social media management Content creation Audience engagement Marketing strategy Communication skills,Build and maintain a strong social media presence and following. Create and share content related to the brand. Collaborate with brands for sponsored posts and partnerships.
